cell_id,profile,backend,depth,op_seq,op,kind,proof_id,proof_j,leaf_index,from_account,contract_name,gas_limit,expected_status,status,expected_revert,revert_reason,expected_return,return_value,check_pass,gas_used,calldata_bytes,calldata_zero_bytes,calldata_tokens,calldata_gas_standard,floor_gas_7623,create_gas,intrinsic_gas,exec_gas_derived,floor_binding,code_deposit_gas,initcode_bytes,runtime_bytes,runtime_keccak,runtime_matches_artifact,calldata_sha256
primary-groth16-d10,primary,groth16,10,19,verify_proof_call,call,G16-d10-p5,5,704,A0,Groth16LegacyVerifierDepth10,,call,call,,,true,true,1,,292,2,1162,,,,,,,,,,,,4a4794dfc8fef58b0fa2776498d96153debbfcd07a1dceed3096b1534282d86c
primary-groth16-d10,primary,groth16,10,20,verify_proof_call,call,G16-d10-p6,6,832,A0,Groth16LegacyVerifierDepth10,,call,call,,,true,true,1,,292,1,1165,,,,,,,,,,,,f677a7107864d1b718341fa515ba5b5003e4860493038c0b7134ba336df114c8
primary-groth16-d10,primary,groth16,10,21,verify_proof_call,call,G16-d10-p7,7,960,A0,Groth16LegacyVerifierDepth10,,call,call,,,true,true,1,,292,0,1168,,,,,,,,,,,,82da605af1171262045712508f8f854cbccb163c2f904ab03c660d7bb743329e
primary-groth16-d10,primary,groth16,10,22,verify_proof_direct,tx,G16-d10-p0,0,64,A0,Groth16LegacyVerifierDepth10,1000000,1,1,,,,,1,214573,292,3,1159,4636,32590,0,25636,188937,0,,,,,,00d891db3117c020bf1d8ac8aacda4825f46fbd4c9b717316cfac8afe0a258f1
primary-groth16-d10,primary,groth16,10,23,verify_proof_direct,tx,G16-d10-p1,1,192,A0,Groth16LegacyVerifierDepth10,1000000,1,1,,,,,1,214597,292,1,1165,4660,32650,0,25660,188937,0,,,,,,1645716acb461e34dc46552d7fcf1ce299195a2fb7a62c0f326075b320757911
primary-groth16-d10,primary,groth16,10,24,verify_proof_direct,tx,G16-d10-p2,2,320,A0,Groth16LegacyVerifierDepth10,1000000,1,1,,,,,1,214597,292,1,1165,4660,32650,0,25660,188937,0,,,,,,e00ac1cfc3d9e1435a403ff835d63c223b00433689af0910e239c682d3a7c8f8
primary-groth16-d10,primary,groth16,10,25,verify_proof_direct,tx,G16-d10-p3,3,448,A0,Groth16LegacyVerifierDepth10,1000000,1,1,,,,,1,214597,292,1,1165,4660,32650,0,25660,188937,0,,,,,,e7a5fd90f11e6ab2780a4dabf33001319f7a90c8d20183a4917b7eefcdbb1748
primary-groth16-d10,primary,groth16,10,26,verify_proof_direct,tx,G16-d10-p4,4,576,A0,Groth16LegacyVerifierDepth10,1000000,1,1,,,,,1,214609,292,0,1168,4672,32680,0,25672,188937,0,,,,,,ace199a0b5c2c1cefa420c81e73edf52324e609d35cd66d6a65d4f9f79ba1fad
primary-groth16-d10,primary,groth16,10,27,verify_proof_direct,tx,G16-d10-p5,5,704,A0,Groth16LegacyVerifierDepth10,1000000,1,1,,,,,1,214585,292,2,1162,4648,32620,0,25648,188937,0,,,,,,4a4794dfc8fef58b0fa2776498d96153debbfcd07a1dceed3096b1534282d86c
primary-groth16-d10,primary,groth16,10,28,verify_proof_direct,tx,G16-d10-p6,6,832,A0,Groth16LegacyVerifierDepth10,1000000,1,1,,,,,1,214597,292,1,1165,4660,32650,0,25660,188937,0,,,,,,f677a7107864d1b718341fa515ba5b5003e4860493038c0b7134ba336df114c8
primary-groth16-d10,primary,groth16,10,29,verify_proof_direct,tx,G16-d10-p7,7,960,A0,Groth16LegacyVerifierDepth10,1000000,1,1,,,,,1,214609,292,0,1168,4672,32680,0,25672,188937,0,,,,,,82da605af1171262045712508f8f854cbccb163c2f904ab03c660d7bb743329e
primary-groth16-d10,primary,groth16,10,30,neg_unknown_root,tx,G16-d11-p0,0,128,A0,CredentialManagerGroth16,3000000,0,0,Invalid root,Invalid root,,,1,32620,292,2,1162,4648,32620,0,25648,6972,1,,,,,,ca9621b912a5f11cbb8dd875c48c9971287be9dbbe4454fcd36230ca7d465efc
