backend,stage,role,depth,ratio,rounds,n,median,min,max,values,definition
groth16,witness_ms,stage,12,S8_cpu2_over_cpu8,1-5,5,1.71459,1.59713,1.90903,r1=1.90903;r2=1.71459;r3=1.61083;r4=1.59713;r5=1.82845,T_r(cpu2)/T_r(cpu8)
groth16,witness_ms,stage,13,S8_cpu2_over_cpu8,1-5,5,1.82536,1.55146,2.12995,r1=1.82536;r2=1.91176;r3=1.62387;r4=1.55146;r5=2.12995,T_r(cpu2)/T_r(cpu8)
groth16,witness_ms,stage,14,S8_cpu2_over_cpu8,1-5,5,1.75688,1.69049,1.85692,r1=1.75688;r2=1.75679;r3=1.85692;r4=1.69049;r5=1.82111,T_r(cpu2)/T_r(cpu8)
groth16,witness_ms,stage,15,S8_cpu2_over_cpu8,1-5,5,1.52449,1.30324,1.58083,r1=1.52449;r2=1.53512;r3=1.3601;r4=1.30324;r5=1.58083,T_r(cpu2)/T_r(cpu8)
groth16,witness_ms,stage,all,S8_cpu2_over_cpu8,1-5,11,1.74327,1.52449,1.86384,d5=1.66871;d6=1.75821;d7=1.74327;d8=1.6994;d9=1.86384;d10=1.60541;d11=1.80366;d12=1.71459;d13=1.82536;d14=1.75688;d15=1.52449,median and min-max over depths of the per-depth median (Figure 5)
groth16,witness_ms,stage,5,doubling_cpu4_over_cpu8,1-5,5,1.0508,0.922116,1.24432,r1=1.0508;r2=0.942442;r3=1.24432;r4=0.922116;r5=1.18836,T_r(cpu4)/T_r(cpu8)
groth16,witness_ms,stage,6,doubling_cpu4_over_cpu8,1-5,5,1.07548,0.952076,1.11496,r1=0.952076;r2=1.02924;r3=1.07548;r4=1.11496;r5=1.1029,T_r(cpu4)/T_r(cpu8)
groth16,witness_ms,stage,7,doubling_cpu4_over_cpu8,1-5,5,1.10528,1.00452,1.3054,r1=1.3054;r2=1.19335;r3=1.07335;r4=1.10528;r5=1.00452,T_r(cpu4)/T_r(cpu8)
groth16,witness_ms,stage,8,doubling_cpu4_over_cpu8,1-5,5,1.20013,1.07012,1.24168,r1=1.07012;r2=1.23848;r3=1.07302;r4=1.24168;r5=1.20013,T_r(cpu4)/T_r(cpu8)
groth16,witness_ms,stage,9,doubling_cpu4_over_cpu8,1-5,5,1.13825,1.03484,1.2476,r1=1.14313;r2=1.13825;r3=1.2476;r4=1.03484;r5=1.05439,T_r(cpu4)/T_r(cpu8)
groth16,witness_ms,stage,10,doubling_cpu4_over_cpu8,1-5,5,1.10023,0.990813,1.12699,r1=1.08056;r2=1.12699;r3=1.10023;r4=0.990813;r5=1.10843,T_r(cpu4)/T_r(cpu8)
groth16,witness_ms,stage,11,doubling_cpu4_over_cpu8,1-5,5,1.07513,0.9601,1.15567,r1=1.015;r2=1.07513;r3=0.9601;r4=1.14682;r5=1.15567,T_r(cpu4)/T_r(cpu8)
groth16,witness_ms,stage,12,doubling_cpu4_over_cpu8,1-5,5,1.11055,1.00767,1.25072,r1=1.00767;r2=1.11055;r3=1.25072;r4=1.02297;r5=1.15022,T_r(cpu4)/T_r(cpu8)
groth16,witness_ms,stage,13,doubling_cpu4_over_cpu8,1-5,5,1.0677,1.0396,1.15111,r1=1.0396;r2=1.10451;r3=1.05019;r4=1.0677;r5=1.15111,T_r(cpu4)/T_r(cpu8)
groth16,witness_ms,stage,14,doubling_cpu4_over_cpu8,1-5,5,1.11489,1.06984,1.18224,r1=1.18224;r2=1.13592;r3=1.11489;r4=1.06984;r5=1.07066,T_r(cpu4)/T_r(cpu8)
groth16,witness_ms,stage,15,doubling_cpu4_over_cpu8,1-5,5,1.05445,0.988411,1.13331,r1=1.05445;r2=1.01736;r3=0.988411;r4=1.13331;r5=1.12526,T_r(cpu4)/T_r(cpu8)
groth16,witness_ms,stage,all,doubling_cpu4_over_cpu8,1-5,11,1.10023,1.0508,1.20013,d5=1.0508;d6=1.07548;d7=1.10528;d8=1.20013;d9=1.13825;d10=1.10023;d11=1.07513;d12=1.11055;d13=1.0677;d14=1.11489;d15=1.05445,median and min-max over depths of the per-depth median (Figure 5)
