profile_id,backend,depth,stage,role,rounds,n,median,q1,q3,iqr,min,max
cpu2,groth16,10,prove_ms,stage,6-10,5,383.348,375.492,383.503,8.011,353.367,396.43
cpu2,groth16,10,verify_first_ms,stage,6-10,5,10.929,10.793,11.793,1,9.918,21.82
cpu2,groth16,10,verify_steady_ms,stage,6-10,5,10.814,10.49,11.999,1.509,10.041,12.08
cpu2,groth16,10,wall_ms,total,6-10,5,421.124,413.99,434.627,20.637,391.486,440.603
cpu2,groth16,10,stage_sum_ms,diagnostic,6-10,5,421.109,413.972,434.603,20.631,391.467,440.586
cpu2,groth16,11,input_ms,stage,6-10,5,6.108,5.677,7.197,1.52,5.571,7.664
cpu2,groth16,11,witness_ms,stage,6-10,5,26.767,24.89,28.734,3.844,24.248,30.73
cpu2,groth16,11,prove_ms,stage,6-10,5,408.246,398.752,422.118,23.366,374.74,429.876
cpu2,groth16,11,verify_first_ms,stage,6-10,5,11.16,11.014,11.404,0.39,10.536,12.321
cpu2,groth16,11,verify_steady_ms,stage,6-10,5,11.011,10.549,11.533,0.984,9.994,12.718
cpu2,groth16,11,wall_ms,total,6-10,5,448.726,443.97,471.546,27.576,416.632,476.987
cpu2,groth16,11,stage_sum_ms,diagnostic,6-10,5,448.707,443.949,471.526,27.577,416.605,476.966
cpu2,groth16,12,input_ms,stage,6-10,5,16.874,16.706,18.532,1.826,11.287,18.652
cpu2,groth16,12,witness_ms,stage,6-10,5,27.92,26.631,28.358,1.727,24.829,31.883
cpu2,groth16,12,prove_ms,stage,6-10,5,416.829,414.313,418.443,4.13,398.655,429.451
cpu2,groth16,12,verify_first_ms,stage,6-10,5,11.572,10.758,12.071,1.313,10.093,12.811
cpu2,groth16,12,verify_steady_ms,stage,6-10,5,10.618,10.022,10.832,0.81,10.011,10.843
cpu2,groth16,12,wall_ms,total,6-10,5,471.893,469.39,472.089,2.699,456.328,487.083
