profile_id,backend,depth,quantity,rounds,n,median,min,max,values,definition
cpu4,groth16,15/8,plateau_end_U_d15_over_d8_mem,1-5,5,1.38746,1.32266,1.84202,dr1=1.40725;dr2=1.38746;dr3=1.32266;dr4=1.36837;dr5=1.84202,"prove(15)/prove(8), mem calls"
cpu8,groth16,5,path_prove_ms,1-5,5,103.061,101.229,106.318,dr1=106.318;dr2=103.072;dr3=101.229;dr4=101.847;dr5=103.061,prove_ms of the path call
cpu8,groth16,5,mem_prove_ms,1-5,5,102.163,100.489,104.655,dr1=103.856;dr2=102.163;dr3=104.655;dr4=100.489;dr5=101.383,prove_ms of the mem call
cpu8,groth16,5,paired_diff_path_minus_mem_ms,1-5,5,1.358,-3.426,2.462,dr1=2.462;dr2=0.909;dr3=-3.426;dr4=1.358;dr5=1.678,"path - mem, same diagnostic round"
cpu8,groth16,5,paired_ratio_mem_over_path,1-5,5,0.986666,0.976843,1.03384,dr1=0.976843;dr2=0.991181;dr3=1.03384;dr4=0.986666;dr5=0.983718,"mem / path, same diagnostic round"
cpu8,groth16,5,zkey_readfile_ms,1-5,5,0.854,0.637,1.212,dr1=0.637;dr2=0.854;dr3=0.739;dr4=0.879;dr5=1.212,fs.readFileSync(zkey) before the mem call
cpu8,groth16,7,path_prove_ms,1-5,5,120.173,119.341,121.609,dr1=120.173;dr2=119.341;dr3=120.485;dr4=120.121;dr5=121.609,prove_ms of the path call
cpu8,groth16,7,mem_prove_ms,1-5,5,121.863,118.195,124.249,dr1=118.195;dr2=120.08;dr3=121.863;dr4=124.249;dr5=123.995,prove_ms of the mem call
cpu8,groth16,7,paired_diff_path_minus_mem_ms,1-5,5,-1.378,-4.128,1.978,dr1=1.978;dr2=-0.739;dr3=-1.378;dr4=-4.128;dr5=-2.386,"path - mem, same diagnostic round"
cpu8,groth16,7,paired_ratio_mem_over_path,1-5,5,1.01144,0.98354,1.03437,dr1=0.98354;dr2=1.00619;dr3=1.01144;dr4=1.03437;dr5=1.01962,"mem / path, same diagnostic round"
cpu8,groth16,7,zkey_readfile_ms,1-5,5,0.885,0.811,1.224,dr1=0.928;dr2=0.811;dr3=1.224;dr4=0.885;dr5=0.838,fs.readFileSync(zkey) before the mem call
cpu8,groth16,8,path_prove_ms,1-5,5,141.394,139.461,144.781,dr1=141.394;dr2=144.781;dr3=140.867;dr4=139.461;dr5=142.44,prove_ms of the path call
cpu8,groth16,8,mem_prove_ms,1-5,5,139.82,137.943,144.696,dr1=139.918;dr2=137.943;dr3=139.82;dr4=138.981;dr5=144.696,prove_ms of the mem call
cpu8,groth16,8,paired_diff_path_minus_mem_ms,1-5,5,1.047,-2.256,6.838,dr1=1.476;dr2=6.838;dr3=1.047;dr4=0.48;dr5=-2.256,"path - mem, same diagnostic round"
cpu8,groth16,8,paired_ratio_mem_over_path,1-5,5,0.992567,0.95277,1.01584,dr1=0.989561;dr2=0.95277;dr3=0.992567;dr4=0.996558;dr5=1.01584,"mem / path, same diagnostic round"
cpu8,groth16,8,zkey_readfile_ms,1-5,5,0.998,0.913,1.166,dr1=1.166;dr2=1.072;dr3=0.998;dr4=0.959;dr5=0.913,fs.readFileSync(zkey) before the mem call
cpu8,groth16,15,path_prove_ms,1-5,5,192.322,190.821,193.919,dr1=192.322;dr2=192.104;dr3=193.919;dr4=190.821;dr5=192.985,prove_ms of the path call
cpu8,groth16,15,mem_prove_ms,1-5,5,189.626,189.08,197.558,dr1=189.626;dr2=189.08;dr3=189.106;dr4=191.294;dr5=197.558,prove_ms of the mem call
cpu8,groth16,15,paired_diff_path_minus_mem_ms,1-5,5,2.696,-4.573,4.813,dr1=2.696;dr2=3.024;dr3=4.813;dr4=-0.473;dr5=-4.573,"path - mem, same diagnostic round"
cpu8,groth16,15,paired_ratio_mem_over_path,1-5,5,0.985982,0.97518,1.0237,dr1=0.985982;dr2=0.984259;dr3=0.97518;dr4=1.00248;dr5=1.0237,"mem / path, same diagnostic round"
cpu8,groth16,15,zkey_readfile_ms,1-5,5,1.213,1.155,1.33,dr1=1.155;dr2=1.169;dr3=1.279;dr4=1.33;dr5=1.213,fs.readFileSync(zkey) before the mem call
cpu8,plonk,5,path_prove_ms,1-5,5,9582.8,9424.98,10379.3,dr1=10028.6;dr2=9442.41;dr3=9582.8;dr4=9424.98;dr5=10379.3,prove_ms of the path call
cpu8,plonk,5,mem_prove_ms,1-5,5,9383.72,9344.95,9399.89,dr1=9399.89;dr2=9374.56;dr3=9344.95;dr4=9383.72;dr5=9398.53,prove_ms of the mem call
cpu8,plonk,5,paired_diff_path_minus_mem_ms,1-5,5,237.85,41.257,980.763,dr1=628.746;dr2=67.855;dr3=237.85;dr4=41.257;dr5=980.763,"path - mem, same diagnostic round"
cpu8,plonk,5,paired_ratio_mem_over_path,1-5,5,0.975179,0.905508,0.995623,dr1=0.937305;dr2=0.992814;dr3=0.975179;dr4=0.995623;dr5=0.905508,"mem / path, same diagnostic round"
cpu8,plonk,5,zkey_readfile_ms,1-5,5,18.169,17.146,19.631,dr1=19.631;dr2=18.297;dr3=17.681;dr4=18.169;dr5=17.146,fs.readFileSync(zkey) before the mem call
cpu8,plonk,10,path_prove_ms,1-5,5,9519.58,9424.93,9559.68,dr1=9529.05;dr2=9559.68;dr3=9486.17;dr4=9519.58;dr5=9424.93,prove_ms of the path call
cpu8,plonk,10,mem_prove_ms,1-5,5,9447.39,9321.13,9542.91,dr1=9542.91;dr2=9321.13;dr3=9447.39;dr4=9460.74;dr5=9374.76,prove_ms of the mem call
cpu8,plonk,10,paired_diff_path_minus_mem_ms,1-5,5,50.171,-13.858,238.546,dr1=-13.858;dr2=238.546;dr3=38.783;dr4=58.843;dr5=50.171,"path - mem, same diagnostic round"
cpu8,plonk,10,paired_ratio_mem_over_path,1-5,5,0.994677,0.975047,1.00145,dr1=1.00145;dr2=0.975047;dr3=0.995912;dr4=0.993819;dr5=0.994677,"mem / path, same diagnostic round"
cpu8,plonk,10,zkey_readfile_ms,1-5,5,18.704,17.076,19.309,dr1=19.18;dr2=17.076;dr3=19.309;dr4=18.669;dr5=18.704,fs.readFileSync(zkey) before the mem call
cpu8,plonk,11,path_prove_ms,1-5,5,18589.4,18438.3,21246.1,dr1=18492.7;dr2=18438.3;dr3=18618.3;dr4=18589.4;dr5=21246.1,prove_ms of the path call
cpu8,plonk,11,mem_prove_ms,1-5,5,18515.8,18467.3,21061,dr1=18804.1;dr2=18507.9;dr3=18515.8;dr4=18467.3;dr5=21061,prove_ms of the mem call
cpu8,plonk,11,paired_diff_path_minus_mem_ms,1-5,5,102.537,-311.389,185.102,dr1=-311.389;dr2=-69.562;dr3=102.537;dr4=122.104;dr5=185.102,"path - mem, same diagnostic round"
