campaign_id,profile_id,backend,depth,metric,rounds_used,round_attempts_used,n,median,q1,q3,iqr,min,max
campaign-20260925T060607Z,cpu2,groth16,7,witness_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,23.6955,22.253,25.73125,3.478249999999999,21.643,28.681
campaign-20260925T060607Z,cpu2,groth16,7,prove_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,294.82,293.50575000000003,302.06375,8.557999999999993,269.96,343.581
campaign-20260925T060607Z,cpu2,groth16,7,verify_first_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,11.682500000000001,10.025,13.0025,2.977499999999999,9.667,16.736
campaign-20260925T060607Z,cpu2,groth16,7,verify_steady_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,10.731,10.223749999999999,11.6605,1.4367500000000017,9.785,12.237
campaign-20260925T060607Z,cpu2,groth16,7,stage_sum_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,333.1,328.1595,339.022,10.862500000000011,309.636,379.234
campaign-20260925T060607Z,cpu2,groth16,7,wall_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,333.115,328.17375,339.03725,10.863499999999988,309.652,379.254
campaign-20260925T060607Z,cpu2,groth16,8,input_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,1.2565,1.14025,1.8944999999999999,0.7542499999999999,1.005,2.1
campaign-20260925T060607Z,cpu2,groth16,8,witness_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,23.7065,23.1755,24.5785,1.4029999999999987,20.463,25.679
campaign-20260925T060607Z,cpu2,groth16,8,prove_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,339.263,327.61525,347.49975,19.884500000000003,314.891,353.993
campaign-20260925T060607Z,cpu2,groth16,8,verify_first_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,11.189,10.682,12.325,1.642999999999999,9.78,15.014
campaign-20260925T060607Z,cpu2,groth16,8,verify_steady_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,11.1525,10.75375,11.54025,0.7865000000000002,10.432,12.137
campaign-20260925T060607Z,cpu2,groth16,8,stage_sum_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,376.3035,363.31625,384.52700000000004,21.21075000000002,351.771,391.001
campaign-20260925T060607Z,cpu2,groth16,8,wall_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,376.32050000000004,363.33125,384.54925000000003,21.218000000000018,351.787,391.022
campaign-20260925T060607Z,cpu2,groth16,9,input_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,1.8295,1.7705,1.96925,0.19874999999999998,1.745,5.121
campaign-20260925T060607Z,cpu2,groth16,9,witness_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,24.448999999999998,23.250500000000002,26.988,3.737499999999997,22.053,28.899
campaign-20260925T060607Z,cpu2,groth16,9,prove_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,359.0625,347.64,368.868,21.22800000000001,340.759,380.506
campaign-20260925T060607Z,cpu2,groth16,9,verify_first_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,11.058,10.50775,12.73275,2.2249999999999996,10.111,16.936
campaign-20260925T060607Z,cpu2,groth16,9,verify_steady_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,10.344000000000001,9.888,11.338249999999999,1.4502499999999987,9.569,12.318
campaign-20260925T060607Z,cpu2,groth16,9,stage_sum_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,397.318,389.33574999999996,411.63025,22.294500000000028,377.499,420.346
campaign-20260925T060607Z,cpu2,groth16,9,wall_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,397.34000000000003,389.35125000000005,411.6475,22.29624999999993,377.517,420.361
campaign-20260925T060607Z,cpu2,plonk,10,input_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,2.945,2.811,3.535,0.7240000000000002,2.75,3.926
campaign-20260925T060607Z,cpu2,plonk,10,witness_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,27.428,26.077,28.648,2.570999999999998,25.433,30.138
campaign-20260925T060607Z,cpu2,plonk,10,prove_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,12203.378,12114.778,12223.677,108.89899999999943,12047.79,13395.1
campaign-20260925T060607Z,cpu2,plonk,10,verify_first_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,10.027,9.471,10.042,0.5709999999999997,7.729,11.838
campaign-20260925T060607Z,cpu2,plonk,10,verify_steady_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,7.306,7.267,7.341,0.07399999999999984,7.202,8.508
campaign-20260925T060607Z,cpu2,plonk,10,stage_sum_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,12244.774,12155.457,12265.102,109.64500000000044,12088.006,13434.184
campaign-20260925T060607Z,cpu2,plonk,10,wall_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,12244.79,12155.478,12265.125,109.64700000000084,12088.025,13434.202
campaign-20260925T060607Z,cpu2,plonk,11,input_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,6.28,5.96,6.43,0.46999999999999975,5.258,8.247
campaign-20260925T060607Z,cpu2,plonk,11,witness_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,25.059,23.533,26.144,2.610999999999997,21.777,28.629
campaign-20260925T060607Z,cpu2,plonk,11,prove_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,23521.395,23298.578,23695.524,396.9459999999999,23140.082,26083.025
campaign-20260925T060607Z,cpu2,plonk,11,verify_first_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,10.182,9.022,10.285,1.263,8.99,13.096
campaign-20260925T060607Z,cpu2,plonk,11,verify_steady_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,7.297,7.257,8.322,1.0649999999999995,7.13,8.483
campaign-20260925T060607Z,cpu2,plonk,11,stage_sum_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,23560.38,23341.455,23743.011,401.55599999999686,23178.321,26124.328
campaign-20260925T060607Z,cpu2,plonk,11,wall_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,23560.413,23341.474,23743.032,401.5580000000009,23178.343,26124.35
campaign-20260925T060607Z,cpu2,plonk,12,input_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,16.579,16.499,17.897,1.3979999999999997,11.1,18.285
campaign-20260925T060607Z,cpu2,plonk,12,witness_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,25.434,24.936,29.53,4.594000000000001,24.842,32.956
campaign-20260925T060607Z,cpu2,plonk,12,prove_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,23398.957,23320.812,23481.457,160.6449999999968,23112.58,25884.557
campaign-20260925T060607Z,cpu2,plonk,12,verify_first_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,9.876,8.987,10.234,1.2469999999999999,8.961,13.631
campaign-20260925T060607Z,cpu2,plonk,12,verify_steady_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,7.223,7.222,7.711,0.4889999999999999,7.218,8.584
campaign-20260925T060607Z,cpu2,plonk,12,stage_sum_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,23444.869,23371.139,23541.197,170.0580000000009,23173.667,25937.237
campaign-20260925T060607Z,cpu2,plonk,12,wall_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,23444.895,23371.166,23541.22,170.0540000000001,23173.689,25937.262
campaign-20260925T060607Z,cpu2,plonk,13,input_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,25.797,24.769,26.351,1.5820000000000007,24.748,26.681
campaign-20260925T060607Z,cpu2,plonk,13,witness_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,31.349,31.153,32.127,0.9740000000000038,27.709,34.481
campaign-20260925T060607Z,cpu2,plonk,13,prove_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,23422.755,23348.562,23519.202,170.63999999999942,23066.196,25686.631
campaign-20260925T060607Z,cpu2,plonk,13,verify_first_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,9.882,9.228,10.951,1.7230000000000008,9.041,12.819
campaign-20260925T060607Z,cpu2,plonk,13,verify_steady_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,7.309,7.244,8.542,1.298,7.216,8.63
campaign-20260925T060607Z,cpu2,plonk,13,stage_sum_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,23490.013,23412.503,23586.074,173.5709999999999,23134.466,25757.374
campaign-20260925T060607Z,cpu2,plonk,13,wall_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,23490.037,23412.529,23586.095,173.56600000000253,23134.501,25757.396
campaign-20260925T060607Z,cpu2,plonk,14,input_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,49.307,44.23,53.121,8.891000000000005,43.84,59.38
campaign-20260925T060607Z,cpu2,plonk,14,witness_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,25.413,25.378,27.502,2.1239999999999988,24.887,28.768
campaign-20260925T060607Z,cpu2,plonk,14,prove_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,23625.619,23310.092,23689.972,379.880000000001,23307.641,25343.121
campaign-20260925T060607Z,cpu2,plonk,14,verify_first_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,11.251,10.068,13.726,3.6580000000000013,9.939,15.213
campaign-20260925T060607Z,cpu2,plonk,14,verify_steady_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,7.272,7.261,7.831,0.5700000000000003,7.213,8.298
campaign-20260925T060607Z,cpu2,plonk,14,stage_sum_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,23712.496,23393.071,23793.333,400.2619999999988,23386.696,25432.871
campaign-20260925T060607Z,cpu2,plonk,14,wall_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,23712.52,23393.095,23793.363,400.26800000000003,23386.725,25432.892
campaign-20260925T060607Z,cpu2,plonk,15,input_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,123.152,112.633,123.859,11.225999999999999,106.205,124.711
campaign-20260925T060607Z,cpu2,plonk,15,witness_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,32.483,30.046,33.795,3.7490000000000023,28.088,34.999
campaign-20260925T060607Z,cpu2,plonk,15,prove_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,23338.579,23256.403,24114.279,857.8760000000002,23126.733,25857.661
campaign-20260925T060607Z,cpu2,plonk,15,verify_first_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,10.126,10.126,10.899,0.7729999999999997,9.083,12.178
campaign-20260925T060607Z,cpu2,plonk,15,verify_steady_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,7.278,7.197,7.536,0.3389999999999995,7.165,8.583
campaign-20260925T060607Z,cpu2,plonk,15,stage_sum_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,23495.133,23420.528,24280.813,860.2849999999999,23278.063,26021.501
campaign-20260925T060607Z,cpu2,plonk,15,wall_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,23495.159,23420.554,24280.846,860.2920000000013,23278.089,26021.527
campaign-20260925T060607Z,cpu2,plonk,5,input_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,0.797,0.759,1.175,0.41600000000000004,0.745,1.498
campaign-20260925T060607Z,cpu2,plonk,5,witness_ms,1 2 3 4 5,1a1 2a1 3a1 4a1 5a1,5,22.986,22.149,26.261,4.111999999999998,18.793,28.556
